ecDNA_number	RNA_count	bursting_frequency
290	180	0.624137931
285	183	0.645614035
83	53	0.638554217
70	42	0.6
60	34	0.583333333
52	35	0.692307692
37	13	0.378378378
18	10	0.555555556
15	9	0.6
12	6	0.583333333
9	5	0.555555556
10	4	0.4
11	7	0.727272727
14	7	0.5
11	6	0.636363636
15	4	0.333333333
7	2	0.285714286
7	3	0.571428571
4	2	0.5
5	1	0.2
7	4	0.714285714
2	2	1
7	1	0.142857143
4	3	0.75
5	1	0.2
2	2	1
5	2	0.4
6	1	0.333333333
3	2	0.666666667
2	2	1
5	1	0.2
6	3	0.5
5	1	0.2
3	0	0
4	0	0
3	2	0.666666667
3	0	0.333333333
2	1	0.5
3	0	0.333333333
3	0	0.333333333
2	2	1
2	0	0
2	1	0.5
2	0	0
2	0	0
2	0	0
2	0	0
2	0	0
222	170	0.765765766
191	129	0.680628272
112	67	0.598214286
109	70	0.642201835
77	52	0.688311688
93	58	0.623655914
36	14	0.388888889
21	6	0.333333333
17	7	0.411764706
15	7	0.466666667
15	10	0.733333333
19	4	0.210526316
13	6	0.538461538
19	8	0.421052632
12	6	0.5
16	7	0.4375
12	3	0.333333333
12	3	0.333333333
11	6	0.636363636
14	6	0.428571429
12	6	0.5
11	4	0.363636364
10	5	0.5
11	5	0.545454545
12	6	0.583333333
10	6	0.6
6	6	1
6	3	0.5
8	3	0.375
5	2	0.4
7	5	0.857142857
7	3	0.428571429
9	7	0.777777778
7	3	0.571428571
7	3	0.428571429
4	4	1
4	2	0.5
6	1	0.333333333
7	3	0.428571429
6	1	0.333333333
4	3	0.75
8	3	0.375
5	3	0.6
8	3	0.375
6	3	0.5
5	1	0.2
5	4	0.8
5	3	0.6
6	4	0.833333333
3	0	0
6	1	0.166666667
4	0	0
5	1	0.2
6	1	0.333333333
5	1	0.2
4	2	0.5
6	4	0.833333333
4	2	0.5
3	0	0.333333333
2	2	1
2	1	0.5
5	3	0.6
4	0	0
6	1	0.333333333
4	2	0.5
3	0	0.333333333
2	1	0.5
5	1	0.2
5	1	0.2
4	1	0.25
4	2	0.5
2	2	1
2	1	0.5
3	0	0.333333333
3	0	0
2	1	0.5
5	1	0.2
4	1	0.25
2	0	0
2	0	0
4	2	0.5
2	1	0.5
2	1	0.5
3	0	0
2	0	0
2	0	0
2	0	0
2	0	0
2	1	0.5
1	0	0
1	0	0
1	0	0
1	1	1
1	0	0
1	1	1
1	1	1
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	1	1
1	1	1
1	0	0
1	0	0
1	0	0
1	1	1
1	0	0
1	0	0
